#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
1M pop",Population
24,Belarus,30572,922,171,6,"10,130","20,271",92,3235,18,364319,38554,9449678
25,Sweden,30377,234,3698,19,"4,971","21,708",287,3010,366,177500,17588,10091856
26,Portugal,29209,173,1231,13,"6,430","21,548",105,2864,121,652497,63970,10200063
27,Singapore,28343,305,22,,"9,835","18,486",12,4849,4,246254,42132,5844888
28,Ireland,24200,88,1547,4,"19,470","3,183",54,4908,314,258808,52484,4931150
29,UAE,24190,832,224,4,"9,577","14,389",1,2449,23,1600923,162103,9875965
30,Bangladesh,23870,1602,349,21,"4,585","18,936",1,145,2,185086,1125,164493041
31,Poland,18885,356,936,11,"7,628","10,321",160,499,25,636046,16804,37851327
32,Ukraine,18616,325,535,21,"5,276","12,805",240,425,12,232899,5322,43762985
33,Indonesia,18010,496,1191,43,"4,324","12,495",,66,4,190660,698,273176544
34,Romania,17036,165,1120,13,"9,930","5,986",193,885,58,313621,16290,19251921
35,Israel,16643,26,276,4,"13,253","3,114",52,1927,32,505702,58538,8638917
36,South Africa,16433,918,286,22,"7,298","8,849",119,277,5,475071,8022,59218133
37,Japan,16305,20,749,5,"11,564","3,992",228,129,6,250151,1977,126520115
38,Colombia,16295,721,592,18,"3,903","11,800",136,321,12,190114,3741,50817787
39,Austria,16269,27,629,,"14,614","1,026",45,1808,70,366069,40673,9000366
40,Kuwait,15691,841,118,6,"4,339","11,234",161,3681,28,248314,58251,4262847
41,Egypt,12764,535,645,15,"3,440","8,679",41,125,6,135000,1322,102094004
42,Dominican Republic,12725,411,434,6,"6,613","5,678",127,1174,40,50108,4625,10834889
43,Philippines,12718,205,831,7,"2,729","9,158",81,116,8,244800,2238,109403890
44,S. Korea,11065,15,263,1,"9,904",898,55,216,5,753211,14693,51264120
45,Denmark,10968,41,548,1,"9,301","1,119",26,1894,95,463016,79971,5789832
46,Serbia,10699,89,231,1,"4,799","5,669",16,1224,26,185385,21208,8741321
47,Panama,9606,157,275,6,"6,081","3,250",72,2231,64,50348,11691,4306425
,Oceania,8663,15,120,1,"7,926",617,12,,,,,
48,Czechia,8586,111,297,,"5,641","2,648",36,802,28,356515,33298,10706690
49,Argentina,8371,303,382,9,"2,625","5,364",154,185,8,105829,2344,45146322
50,Norway,8257,8,233,1,32,"7,992",18,1524,43,218039,40257,5416217
51,Algeria,7201,182,555,7,"3,625","3,021",22,165,13,6500,149,43752773
52,Bahrain,7184,228,12,,"2,931","4,241",8,4242,7,243031,143494,1693667
53,Afghanistan,7072,408,173,4,801,"6,098",19,182,4,23497,605,38817349
54,Australia,7060,15,99,1,"6,392",569,12,277,4,1062034,41707,25464216
55,Morocco,6952,82,192,,"3,758","3,002",1,189,5,94595,2566,36857758
56,Malaysia,6941,47,113,,"5,615","1,213",13,215,3,443263,13717,32315733
57,Kazakhstan,6440,283,35,1,"3,469","2,936",31,343,2,540708,28838,18749587
58,Finland,6380,33,300,2,"5,000","1,080",34,1152,54,149700,27023,5539729
59,Nigeria,6175,216,191,9,"1,644","4,340",7,30,0.9,35345,172,205486161
60,Moldova,6138,78,217,6,"2,425","3,496",251,1521,54,20447,5067,4035024
61,Ghana,5735,,29,,"1,754","3,952",5,185,0.9,173096,5585,30991423
62,Oman,5379,193,25,3,"1,496","3,858",31,1057,5,61000,11984,5089968
63,Armenia,4823,351,61,1,"2,019","2,743",10,1628,21,41850,14126,2962604
64,Bolivia,4088,262,169,4,493,"3,426",3,351,15,14803,1270,11653648
65,Luxembourg,3947,2,107,,"3,715",125,8,6318,171,62260,99660,624724
66,Iraq,3554,150,127,4,"2,310","1,117",,89,3,149701,3732,40108260
67,Hungary,3535,26,462,11,"1,400","1,673",46,366,48,137243,14203,9663123
68,Cameroon,3529,424,140,,"1,567","1,822",28,133,5,,,26461313
69,Azerbaijan,3387,113,40,1,"2,055","1,292",37,334,4,235910,23292,10128288
70,Thailand,3031,3,56,,"2,857",118,61,43,0.8,286008,4099,69779718
71,Greece,2836,2,165,2,"1,374","1,297",24,272,16,131684,12627,10428746
72,Guinea,2796,138,16,,"1,263","1,517",18,214,1,10304,787,13086759
73,Uzbekistan,2791,38,13,1,"2,314",464,8,84,0.4,460000,13768,33409960
74,Honduras,2646,81,142,4,319,"2,185",14,268,14,5653,572,9885245
75,Sudan,2591,302,105,8,247,"2,239",,59,2,,,43719159
76,Senegal,2544,64,26,1,"1,076","1,442",6,152,2,24599,1474,16687100
77,Bosnia and Herzegovina,2304,14,133,,"1,464",707,4,702,41,51320,15632,3283087
78,Bulgaria,2235,24,110,2,612,"1,513",43,321,16,65936,9481,6954222
79,Croatia,2228,2,95,,"1,946",187,10,542,23,54820,13344,4108081
80,Ivory Coast,2119,10,28,1,"1,040","1,051",,81,1,18608,708,26294743
81,Guatemala,1912,149,35,2,138,"1,739",5,107,2,20820,1165,17874358
82,Cuba,1881,9,79,,"1,505",297,9,166,7,83868,7404,11327404
83,North Macedonia,1817,25,104,3,"1,301",412,21,872,50,21722,10426,2083384
84,Iceland,1802,,10,,"1,786",6,,5285,29,56882,166818,340982
85,Estonia,1784,10,64,1,938,782,4,1345,48,70188,52915,1326433
86,Tajikistan,1729,205,41,2,,"1,688",,182,4,,,9510530
87,Lithuania,1547,6,59,3,997,491,17,567,22,231104,84767,2726360
88,DRC,1538,83,61,,272,"1,205",,17,0.7,,,89204344
89,Djibouti,1518,117,7,3,"1,018",493,,1539,7,18345,18601,986245
90,New Zealand,1499,,21,,"1,433",45,,311,4,230718,47891,4817585
91,Slovakia,1495,1,28,,"1,185",282,3,274,5,143433,26273,5459339
92,Slovenia,1466,,104,,"1,335",27,5,705,50,69842,33596,2078905
93,Somalia,1455,34,57,1,163,"1,235",2,92,4,,,15835721
94,Gabon,1432,112,11,,301,"1,120",9,645,5,7966,3590,2219053
95,El Salvador,1413,75,30,3,474,909,21,218,5,57883,8929,6482375
96,Mayotte,1370,28,18,,627,725,9,5037,66,5200,19119,271976
97,Kyrgyzstan,1216,78,14,,827,375,5,187,2,59490,9137,6510930
98,Maldives,1106,12,4,,58,"1,044",9,2051,7,11775,21831,539365
99,Hong Kong,1056,,4,,"1,025",27,1,141,0.5,168291,22469,7489763
100,Tunisia,1043,6,45,,819,179,3,88,4,41620,3526,11803787
101,Guinea-Bissau,1032,42,4,,38,990,,526,2,1500,764,1962083
102,Latvia,1009,1,19,,662,328,3,534,10,89123,47193,1888464
103,Sri Lanka,992,11,9,,559,424,1,46,0.4,44391,2074,21402783
104,Albania,948,2,31,,727,190,1,329,11,12192,4236,2878155
105,Lebanon,931,20,26,,251,654,4,136,4,62424,9141,6828869
106,Cyprus,917,1,17,,515,385,10,760,14,87549,72575,1206320
107,Kenya,912,25,50,,336,526,1,17,0.9,44851,836,53621669
108,Niger,909,5,55,1,714,140,,38,2,5888,244,24088734
109,Mali,874,14,52,,512,310,,43,3,3483,173,20174887
110,Costa Rica,866,3,10,,575,281,3,170,2,20352,4000,5088572
111,Burkina Faso,796,,51,,652,93,,38,2,,,20829100
112,Paraguay,788,2,11,,219,558,,111,2,20124,2826,7121943
113,Andorra,761,,51,,624,86,3,9851,660,3750,48543,77251
114,Zambia,761,8,7,,192,562,1,42,0.4,17875,976,18317156
115,Uruguay,737,3,20,,569,148,4,212,6,34384,9902,3472331
,,721,,15,,651,55,4,,,,,
116,Equatorial Guinea,719,125,7,,22,690,,515,5,854,611,1396874
117,Diamond Princess,712,,13,,651,48,4,,,,,
118,Georgia,701,6,12,,432,257,6,176,3,39573,9918,3990035
119,San Marino,654,,41,,203,410,1,19279,1209,3499,103145,33923
120,Jordan,629,16,9,,413,207,5,62,0.9,144356,14165,10191015
121,Venezuela,618,77,10,,253,355,1,22,0.4,581082,20428,28445034
122,Malta,558,5,6,,456,96,1,1264,14,51677,117073,441407
123,Channel Islands,555,1,43,,475,37,,3196,248,5342,30759,173672
124,Haiti,533,77,21,1,21,491,,47,2,2120,186,11385726
125,Jamaica,520,3,9,,127,384,,176,3,8515,2877,2959659
126,Chad,519,16,53,,117,349,,32,3,,,16364523
127,Sierra Leone,519,14,33,1,148,338,,65,4,,,7956645
128,Tanzania,509,,21,,183,305,7,9,0.4,,,59512999
129,Réunion,446,3,,,354,92,4,499,,17200,19227,894557
130,Taiwan,440,,7,,398,35,,18,0.3,69395,2914,23811805
131,Congo,412,21,15,,110,287,,75,3,,,5500730
132,Palestine,388,7,2,,337,49,,76,0.4,44876,8823,5086351
133,Nepal,375,80,2,,36,337,1,13,0.07,100283,3449,29071791
134,Ethiopia,352,35,5,,116,231,,3,0.04,59029,515,114599417
135,Benin,339,,2,,83,254,,28,0.2,25471,2108,12082333
136,Isle of Man,335,,24,,296,15,9,3942,282,4167,49035,84980
137,Mauritius,332,,10,,322,0,,261,8,89814,70635,1271525
138,Togo,330,29,12,1,106,212,,40,1,13452,1630,8254058
139,Cabo Verde,328,,3,,85,240,,591,5,892,1606,555261
140,CAR,327,,,,13,314,,68,,3498,726,4819377
141,Montenegro,324,,9,,311,4,2,516,14,10167,16188,628057
142,Vietnam,324,4,,,263,61,2,3,,275000,2828,97234232
143,Madagascar,322,18,1,,119,202,1,12,0.04,5670,205,27599599
144,Rwanda,297,5,,,203,94,,23,,51118,3959,12911155
145,South Sudan,290,,4,,4,282,,26,0.4,3356,300,11177895
146,Uganda,248,21,,,63,185,,5,,73485,1613,45550580
147,Sao Tome and Principe,246,11,7,,4,235,,1125,32,175,800,218653
148,Liberia,229,3,22,1,123,84,,45,4,,,5042565
149,French Guiana,210,13,1,,131,78,,705,3,,,297687
150,Eswatini,205,2,2,,78,125,,177,2,4160,3590,1158724
151,Martinique,192,,14,,91,87,,512,37,,,375298
152,Myanmar,188,4,6,,101,81,,3,0.1,14561,268,54366792
153,Faeroe Islands,187,,,,187,0,,3829,,8863,181466,48841
154,Guadeloupe,155,,13,,109,33,3,387,32,2866,7163,400116
155,Gibraltar,147,,,,145,2,,4363,,5187,153953,33692
156,Mozambique,145,8,,,44,101,,5,,6272,201,31141818
157,Brunei,141,,1,,136,4,2,323,2,17414,39851,436979
158,Mongolia,140,4,,,24,116,2,43,,11000,3362,3271795
159,Yemen,130,2,20,,1,109,,4,0.7,120,4,29742981
160,Bermuda,125,2,9,,77,39,2,2006,144,5549,89063,62304
161,Guyana,124,7,10,,44,70,3,158,13,1164,1481,786108
162,Cambodia,122,,,,122,0,,7,,15242,913,16690788
163,Trinidad and Tobago,116,,8,,107,1,,83,6,2690,1923,1398962
164,Aruba,101,,3,,93,5,4,946,28,2021,18939,106713
165,Monaco,97,1,4,,87,6,1,2474,102,,,39209
166,Bahamas,96,,11,,43,42,1,244,28,1826,4649,392795
167,Cayman Islands,94,,1,,55,38,,1432,15,5900,89899,65629
168,Barbados,88,,7,,68,13,4,306,24,4004,13935,287335
169,Liechtenstein,82,,1,,55,26,,2151,26,900,23613,38115
170,Mauritania,81,19,4,,7,70,,17,0.9,2583,557,4633922
171,Sint Maarten,77,,15,,54,8,7,1798,350,414,9669,42817
172,Malawi,70,,3,,27,40,1,4,0.2,1803,95,19066433
173,Libya,65,,3,,35,27,,9,0.4,3633,530,6859926
174,French Polynesia,60,,,,60,0,,214,,3496,12454,280717
175,Syria,58,,3,,36,19,,3,0.2,,,17446406
176,Angola,50,2,3,1,17,30,,2,0.09,6136,187,32731783
177,Zimbabwe,46,2,4,,18,24,,3,0.3,28019,1889,14836491
178,Macao,45,,,,44,1,1,69,,,,648258
179,Burundi,42,19,1,,20,21,,4,0.08,284,24,11844472
180,Saint Martin,39,,3,,30,6,1,1011,78,,,38585
181,Eritrea,39,,,,39,0,,11,,,,3540444
182,Nicaragua,25,,8,,7,10,,4,1,,,6615040
183,Antigua and Barbuda,25,,3,,19,3,1,256,31,183,1871,97833
184,Botswana,25,,1,,17,7,,11,0.4,13294,5667,2345678
185,Gambia,24,1,1,,13,10,,10,0.4,1476,613,2407856
186,Timor-Leste,24,,,,24,0,,18,,738,561,1315315
187,Grenada,22,,,,14,8,4,196,,2419,21509,112462
188,Bhutan,21,,,,5,16,,27,,13962,18119,770586
189,Laos,19,,,,14,5,,3,,4565,629,7262665
190,Belize,18,,2,,16,0,,45,5,1043,2629,396732
191,Fiji,18,,,,15,3,,20,,1300,1451,895677
192,New Caledonia,18,,,,18,0,,63,,5454,19125,285170
193,Saint Lucia,18,,,,18,0,,98,,786,4283,183529
194,St. Vincent Grenadines,17,,,,14,3,,153,,155,1398,110899
195,Curaçao,16,,1,,14,1,,98,6,389,2372,164015
196,Dominica,16,,,,16,0,,222,,433,6017,71965
197,Namibia,16,,,,13,3,,6,,2074,818,2535193
198,Saint Kitts and Nevis,15,,,,14,1,,282,,327,6152,53155
199,Falkland Islands,13,,,,13,0,,3750,,402,115950,3467
200,Turks and Caicos,12,,1,,10,1,,310,26,109,2820,38653
201,Vatican City,12,,,,2,10,,14981,,,,801
202,Comoros,11,,1,,3,7,,13,1,,,867268
203,Montserrat,11,,1,,10,0,,2204,200,36,7212,4992
204,Suriname,11,1,1,,9,1,,19,2,404,689,586006
205,Greenland,11,,,,11,0,,194,,1721,30321,56759
206,Seychelles,11,,,,11,0,,112,,,,98275
207,MS Zaandam,9,,2,,,7,,,,,,
208,British Virgin Islands,8,,1,,6,1,,265,33,167,5529,30207
209,Papua New Guinea,8,,,,8,0,,1,,2402,269,8925907
210,Caribbean Netherlands,6,,,,6,0,,229,,357,13629,26194
211,St. Barth,6,,,,6,0,,608,,,,9874
212,Western Sahara,6,,,,6,0,,10,,,,595462
213,Anguilla,3,,,,3,0,,200,,,,14987
214,Lesotho,1,,,,,1,,0,,,,2140235
215,Saint Pierre Miquelon,1,,,,1,0,,173,,,,5797
,Total:,818935,20627,25111,377,"471,876","321,948",4583,,,,,
,Total:,1711000,26742,104136,1217,"445,705","1,161,159",18026,,,,,
,Total:,1797528,16760,163619,780,"781,602","852,307",11376,,,,,
,Total:,461197,21015,24115,998,"162,622","274,460",10478,,,,,
,Total:,90080,3699,2849,72,"34,879","52,352",285,,,,,
,Total:,8663,15,120,1,"7,926",617,12,,,,,
,Total:,721,,15,,651,55,4,,,,,
,Total:,4888124,88858,319965,3445,"1,905,261","2,662,898",44764,627,41,,,
