#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
1M pop",Population
129,Réunion,446,,,,354,92,4,499,,17200,19227,894575
130,Taiwan,440,,7,,401,32,,18,0.3,69395,2914,23811922
131,Congo,420,8,15,,132,273,,76,3,,,5501102
132,Nepal,402,27,2,,37,363,1,14,0.07,107253,3689,29073225
133,Palestine,391,3,2,,346,43,,77,0.4,44876,8822,5086676
134,CAR,366,39,,,18,348,,76,,3498,726,4819607
135,Ethiopia,365,13,5,,120,240,,3,0.04,62300,544,114607221
136,Togo,338,8,12,,107,219,,41,1,13825,1675,8254589
137,Isle of Man,335,,24,,300,11,9,3942,282,4234,49822,84982
138,Cabo Verde,335,7,3,,85,247,,603,5,892,1606,555278
139,Mauritius,332,,10,,322,0,,261,8,92764,72955,1271531
140,Madagascar,326,4,2,1,119,205,,12,0.07,5670,205,27601550
141,Montenegro,324,,9,,312,3,2,516,14,10167,16188,628057
142,Vietnam,324,,,,263,61,2,3,,275000,2828,97236622
143,Rwanda,308,11,,,209,99,,24,,52335,4053,12912035
144,South Sudan,290,,4,,4,282,,26,0.4,3356,300,11178254
145,Uganda,260,12,,,63,197,,6,,75228,1651,45554546
146,Nicaragua,254,229,17,9,199,38,,38,3,,,6615255
147,Sao Tome and Principe,251,5,8,1,4,239,,1148,37,175,800,218664
148,Liberia,233,4,23,1,125,85,,46,5,,,5042890
149,French Guiana,218,8,1,,136,81,,732,3,,,297708
150,Eswatini,208,3,2,,87,119,,180,2,4160,3590,1158757
151,Myanmar,193,5,6,,104,83,,4,0.1,15137,278,54367787
152,Martinique,192,,14,,91,87,,512,37,,,375297
153,Faeroe Islands,187,,,,187,0,,3829,,8931,182855,48842
154,Yemen,167,37,28,8,5,134,,6,0.9,120,4,29744780
155,Guadeloupe,155,,13,,109,33,3,387,32,2866,7163,400116
156,Gibraltar,147,,,,145,2,,4363,,5410,160572,33692
157,Mozambique,146,1,,,44,102,,5,,6537,210,31144220
158,Brunei,141,,1,,136,4,2,323,2,17636,40358,436990
159,Mongolia,140,,,,26,114,2,43,,11367,3474,3271940
160,Mauritania,131,50,4,,7,120,,28,0.9,2583,557,4634257
161,Benin,130,,2,,83,45,,11,0.2,25471,2108,12083204
162,Guyana,125,1,10,,46,69,3,159,13,1269,1614,786119
163,Bermuda,125,,9,,78,38,2,2006,144,5705,91569,62303
164,Cambodia,122,,,,122,0,,7,,15447,925,16691420
165,Trinidad and Tobago,116,,8,,107,1,,83,6,2727,1949,1398974
166,Cayman Islands,111,17,1,,55,55,,1691,15,7082,107906,65631
167,Aruba,101,,3,,93,5,4,946,28,2021,18938,106714
168,Monaco,97,,4,,87,6,1,2474,102,,,39210
169,Bahamas,96,,11,,43,42,1,244,28,1826,4649,392805
170,Barbados,88,,7,,68,13,4,306,24,4004,13935,287335
171,Liechtenstein,82,,1,,55,26,,2151,26,900,23612,38116
172,Sint Maarten,77,,15,,54,8,7,1798,350,414,9669,42819
173,Malawi,70,,3,,27,40,1,4,0.2,1803,95,19067788
174,Libya,68,3,3,,35,30,,10,0.4,3633,530,6860181
175,French Polynesia,60,,,,60,0,,214,,3496,12454,280722
176,Syria,58,,3,,36,19,,3,0.2,,,17447571
177,Angola,52,2,3,,17,32,,2,0.09,6136,187,32734590
178,Zimbabwe,46,,4,,18,24,,3,0.3,28019,1888,14837082
179,Macao,45,,,,45,0,,69,,,,648282
180,Burundi,42,,1,,20,21,,4,0.08,284,24,11845443
181,Saint Martin,39,,3,,30,6,1,1011,78,,,38586
182,Eritrea,39,,,,39,0,,11,,,,3540578
183,Antigua and Barbuda,25,,3,,19,3,1,256,31,183,1870,97835
184,Botswana,25,,1,,17,7,,11,0.4,13294,5667,2345808
185,Gambia,24,,1,,13,10,,10,0.4,1476,613,2408042
186,Timor-Leste,24,,,,24,0,,18,,738,561,1315383
187,Grenada,22,,,,14,8,4,196,,2419,21509,112464
188,Bhutan,21,,,,5,16,,27,,14223,18457,770610
189,Laos,19,,,,14,5,,3,,4653,641,7262953
190,Belize,18,,2,,16,0,,45,5,1043,2629,396752
191,Fiji,18,,,,15,3,,20,,1300,1451,895695
192,New Caledonia,18,,,,18,0,,63,,5454,19125,285178
193,Saint Lucia,18,,,,18,0,,98,,786,4283,183531
194,St. Vincent Grenadines,17,,,,14,3,,153,,155,1398,110900
195,Curaçao,16,,1,,14,1,,98,6,485,2957,164017
196,Dominica,16,,,,16,0,,222,,433,6017,71966
197,Namibia,16,,,,13,3,,6,,2074,818,2535319
198,Saint Kitts and Nevis,15,,,,15,0,,282,,391,7356,53156
199,Falkland Islands,13,,,,13,0,,3750,,426,122873,3467
200,Turks and Caicos,12,,1,,10,1,,310,26,109,2820,38655
201,Vatican City,12,,,,2,10,,14981,,,,801
202,Comoros,11,,1,,3,7,,13,1,,,867319
203,Montserrat,11,,1,,10,0,,2204,200,36,7212,4992
204,Suriname,11,,1,,9,1,,19,2,404,689,586020
205,Greenland,11,,,,11,0,,194,,1767,31132,56759
206,Seychelles,11,,,,11,0,,112,,,,98277
207,MS Zaandam,9,,2,,,7,,,,,,
208,British Virgin Islands,8,,1,,6,1,,265,33,167,5528,30208
209,Papua New Guinea,8,,,,8,0,,1,,2402,269,8926371
210,Caribbean Netherlands,6,,,,6,0,,229,,357,13629,26195
211,St. Barth,6,,,,6,0,,608,,,,9874
212,Western Sahara,6,,,,6,0,,10,,,,595503
213,Anguilla,3,,,,3,0,,200,,,,14987
214,Lesotho,1,,,,,1,,0,,,,2140282
215,Saint Pierre Miquelon,1,,,,1,0,,173,,,,5797
,Total:,841122,22187,25500,389,"486,422","329,200",4937,,,,,
,Total:,1736096,25096,105942,1806,"453,793","1,176,361",18423,,,,,
,Total:,1815438,17910,164574,955,"793,764","857,100",11168,,,,,
,Total:,487657,26460,25478,1363,"176,973","285,206",10599,,,,,
,Total:,93228,3148,2924,75,"36,802","53,502",284,,,,,
,Total:,8675,12,121,1,"7,956",598,13,,,,,
,Total:,721,,15,,651,55,4,,,,,
,Total:,4982937,94813,324554,4589,"1,956,361","2,702,022",45428,639,41.6,,,
